policy_id,customer_id,policy_type,start_date,end_date,premium_amount,coverage_amount,status,agent_id,policy_number
P5001,CU3001,AUTO,2022-12-01,2023-12-01,1200.50,50000.00,ACTIVE,AG101,AUTO-2022-12345
P5002,CU3004,AUTO,2022-12-15,2023-12-15,950.75,35000.00,ACTIVE,AG102,AUTO-2022-12346
P5003,CU3001,AUTO,2023-01-01,2024-01-01,1500.25,65000.00,ACTIVE,AG101,AUTO-2023-00123
P5004,CU3007,AUTO,2023-01-10,2024-01-10,1100.00,45000.00,ACTIVE,AG103,AUTO-2023-00124
P5005,CU3010,AUTO,2023-02-01,2024-02-01,1350.80,55000.00,ACTIVE,AG101,AUTO-2023-00125
P6001,CU3005,HOME,2022-11-01,2023-11-01,2200.50,300000.00,ACTIVE,AG102,HOME-2022-54321
P6002,CU3002,HOME,2022-11-15,2023-11-15,1850.75,250000.00,ACTIVE,AG104,HOME-2022-54322
P6003,CU3006,HOME,2022-12-01,2023-12-01,2500.25,350000.00,ACTIVE,AG105,HOME-2022-54323
P6004,CU3009,HOME,2023-01-15,2024-01-15,2000.00,280000.00,ACTIVE,AG102,HOME-2023-10123
P6005,CU3011,HOME,2023-02-15,2024-02-15,2150.80,320000.00,ACTIVE,AG104,HOME-2023-10124
P7001,CU3003,HEALTH,2022-10-01,2023-10-01,5500.50,1000000.00,ACTIVE,AG106,HEALTH-2022-98765
P7002,CU3003,HEALTH,2022-10-15,2023-10-15,4800.75,800000.00,ACTIVE,AG107,HEALTH-2022-98766
P7003,CU3008,HEALTH,2022-11-15,2023-11-15,6200.25,1200000.00,ACTIVE,AG106,HEALTH-2022-98767
P7004,CU3012,HEALTH,2023-01-01,2024-01-01,5100.00,900000.00,ACTIVE,AG107,HEALTH-2023-30123
P7005,CU3013,HEALTH,2023-02-01,2024-02-01,5800.80,1100000.00,ACTIVE,AG106,HEALTH-2023-30124 
